nivel;cargo;cbo;descricao
 B  ; AJUSTADOR MECÂNICO  ; – 7250-10  ; Construir, ajustar, reparar peças ou conjuntos parciais, componentes de máquinas e outros  equipamentos mecânicos, baseando-se em especificações ou modelos originais, utilizando  máquinas-ferramenta, ferramentas manuais e instrumentos de medição, traçagem e controle,  para possibilitar a utilização destes equipamentos nos vários setores de produção.   
 B  ; APONTADOR  ; – 4142-05  ; Auxiliar o mestre de obras em tarefas administrativas dentro do canteiro de obras.   
 B  ; ARMADOR  ; – 7153-05  ; Preparar a confecção de armações e estruturas de concreto e de corpos de prova. Cortar e  dobrar ferragens de lajes. Montar e aplicar armações de fundações, pilares e vigas. Moldar  corpos de prova. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; ARMAZENISTA  ; – 4141-10  ; Executar  tarefas  referentes  à  guarda,  controle  e  preservação  de  gêneros  alimentícios  estabelecendo e seguindo rotinas, para assegurar estoque disponível das despensas.   
 B  ; ARRAIS  ; –  ; Cumprir e fazer cumprir, a bordo, as leis e regulamentos em vigor, mantendo a disciplina na  embarcação e zelando pelo cumprimento dos deveres afetos aos tripulantes de todas as  categorias e funções sob as suas ordens.  Auxiliar  nas atividades de ensino,  pesquisa e  extensão.  
 B  ; ASSISTENTE DE CÂMERA  ; –  ; Auxiliar o operador de câmera na montagem (instalação) de câmera de cinema e televisão.  Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; ASSISTENTE DE MONTAGEM  ; –  ; Auxiliar na montagem e na operação da moviola. Auxiliar nas atividades de ensino, pesquisa  e extensão.  
 B  ; ASSISTENTE DE SOM  ; –  ; Auxiliar o operador de áudio, vídeo e vídeo-tape nas gerações, montagens e sonorização de  programas  gravados  em  fita  magnética.  Auxiliar  nas  atividades  de  ensino,  pesquisa  e  extensão.  
 B  ; ATENDENTE DE CONSULTÓRIO/ÁREA  ; – 4221-10  ; Recepcionar  e  prestar  serviços  de  apoio  a  profissionais  da  área  da  saúde,  usuários  e  pacientes, prestar atendimento telefônico e fornecer informações em consultórios, hospitais e  postos de saúde. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; ATENDENTE DE ENFERMAGEM  ; – 5151-10  ; Executar atividades elementares de Enfermagem, dispensando cuidados simples de saúde,  sob orientação e supervisão de profissionais da saúde. Auxiliar nas atividades de ensino,  pesquisa e extensão.  
 B  ; AUXILIAR DE AGROPECUÁRIA  ; –  ; Executar trabalhos próprios de cultura agrícola, bem como operar conjuntos mecânicos para  armazenagem  de  grãos  e  fabricação  de  rações  destinadas  à  criação,  tratamento  e  alimentação de animais. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE ANATOMIA E NECROPSIA  ; –  ; Preparar  e  conservar  cadáveres  e  peças anatômicas.  Auxiliar  nas  atividades de ensino,  pesquisa e extensão.  
 B  ; AUXILIAR DE ARTES GRÁFICAS  ; –  ; Auxiliar nas atividades de impressão tipográfica para produção de impressos e documentos. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE CENOGRAFIA  ; –  ; Auxiliar  nas  atividades  referentes  ao  trabalho  de  cenografia.  Auxiliar  nas  atividades  de  ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE COZINHA  ; – 5132-05  ; Auxiliar  nas  diversas  tarefas  relacionadas  com  atividades  do  restaurante,  tais  como:  preparação  de  alimentos,  limpeza  e  conservação  das  dependências  do  restaurante,  lanchonete e dos equipamentos existentes.   
 B  ; AUXILIAR DE CURTUME E TANAGENS  ; -   ; Auxiliar na operação de máquinas e equipamentos para o curtimento de couros e peles.  
 B  ; AUXILIAR DE ELETRICISTA  ; -  ; Auxiliar o eletricista na montagem, ajustamento, instalação e manutenção de aparelhos e  equipamentos elétricos.   
 B  ; AUXILIAR DE FARMÁCIA  ; – 5152-10  ; Coletar  material,  orientando  e  verificando  preparo  do  paciente  para  o  exame.  Auxiliar  o  técnico no preparo fórmulas, sob orientação e supervisão. Organizar o trabalho. Recuperar  material de trabalho, lavando, secando, separando e embalando. Trabalhar em conformidade  a normas e procedimentos técnicos e de biossegurança. Auxiliar nas atividades de ensino,  pesquisa e extensão.  
 B  ; AUXILIAR DE FIGURINO  ; -  ; Auxiliar nas atividades referentes ao trabalho de figurino. Auxiliar nas atividades de ensino,  pesquisa e extensão.  
 B  ;  AUXILIAR  DE  INDUSTRIALIZAÇÃO  E  CONSERVAÇÃO DE ALIMENTOS  ; -  ; Auxiliar  no processo de industrialização de alimentos,  recebendo,  lavando,  selecionando,  classificando e pesando a matéria prima, bem como determinar o “ponto” ideal de retirada  dos produtos em processamento. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE LABORATÓRIO  ; -  ; Desenvolver atividades auxiliares gerais de laboratório bem como de áreas específicas, de  acordo com as especialidades. Preparar vidrarias e materiais similares. Preparar soluções e  equipamentos de medição e ensaios e analisar  amostras de insumos e matérias-primas.  Limpar  instrumentos  e  aparelhos  e  efetuar  coleta  de  amostras,  para  assegurar  maior  rendimento  do  trabalho  e  seu  processamento  de  acordo  com  os  padrões  requeridos.  Organizar  o  trabalho  conforme normas  de  segurança,  saúde  ocupacional  e  preservação  ambiental. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE MECÂNICA  ; -  ; Auxiliar nas tarefas de manutenção dos diversos tipos de máquinas e veículos. Auxiliar nas  atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE METEOROLOGIA  ; -  ; Observar e registrar os diversos fenômenos climatológicos e meteorológicos. Auxiliar  nas  atividades de ensino, pesquisa e extensão.  
 B  ; AUXILIAR DE MICROFILMAGEM  ; -  ; Efetuar trabalhos de microfilmagem, operando equipamentos apropriados, baseando-se em  especificações técnicas.  
 B  ; AUXILIAR DE NUTRIÇÃO E DIETÉTICA  ; -  ; Trabalhar junto ao nutricionista auxiliando nas tarefas de: supervisão do preparo do alimento,  prestação de assistência nutricional a indivíduos e coletividades, controle higiênico-sanitário  e programas de educação nutricional. Atuam em conformidade ao Manual de Boas Práticas,  com vistas à saúde das pessoas atendidas. Auxiliar nas atividades de ensino, pesquisa e  extensão.  
 B  ;  AUXILIAR  DE  PROCESSAMENTO  DE  DADOS  ; -  ; Auxiliar o sistema de processamento de dados em tarefas de apoio.  
 B  ; BARBEIRO  ; – 5161-05  ; Executar tarefas referentes ao corte e penteado de cabelo,  recorte da barba e bigode e  outros cuidados afins, empregando aparelhos manuais ou elétricos e produtos estéticos e/ou  anti-sépticos.  
 B  ; BARQUEIRO  ; -  ; Executar tarefas de condução, atracação, desatracação, carga, descarga, e manutenção de  pequenas embarcações, como gaiolas, batelões, balsas e outras se orientando pelas normas  e práticas de navegação e valendo-se da própria experiência, para transportar pessoas e  cargas. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; BOMBEIRO HIDRÁULICO  ; – 7241-10  ;" Operacionalizar  projetos  de  instalações  de  tubulações,  definir  traçados  e  dimensionam  tubulações; especificar, quantificar e inspecionar materiais; preparar locais para instalações,  realizar  pré-montagem e instalar  tubulações.  Realizar  testes operacionais  de pressão de  fluidos  e  testes  de  estanqueidade.  Proteger  instalações  e  fazer  manutenções  em  equipamentos e acessórios. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
